Compound,Weight (g/mol),Additives,Additives,Temp ©,CMC,,Qual. Mat. Meth.,Method,Authors,Reference,Source,Evaluation,Canonical SMILES,,,
SODIUM DECYL 1 SULFATE,260.3,,,20,3.31E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,25,3.32E-02,W,BA,SPECFC CONDCTNCE EQUATNS,GOOD BENS,57011,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,25,3.26E-02,M,BA,EQUIV CONDCTNCE GRAPH,MYSE KAPA,61005,T,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,25,3.35E-02,M,BA,SPECFC CONDCTNCE GRAPH,MYSE KAPA,61005,T,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,25,3.27E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,25,3.32E-02,M,BA,SPECFC CONDCTNCE EQUATNS,MUKE KAPA,66002,T,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,30,3.31E-02,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,30,3.26E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,35,3.27E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,35,3.35E-02,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,40,3.32E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,40,3.41E-02,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,45,3.38E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,D,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,45,3.49E-02,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,D,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,50,3.47E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,D,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,50,3.64E-02,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,D,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,55,3.59E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,D,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,55,3.78E-02,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,D,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,60,3.73E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,65,3.88E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,1.00 E 2 A DEUTERIUM OXIDE,,25,3.25E-02,M,BA,SPECFC CONDCTNCE EQUATNS,MUKE KAPA,66002,T,2,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,1.00 E-2 M NA CL,,25,3.02E-02,M,BB,SPECFC CONDCTNCE GRAPH,MYSE KAPA,61005,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,1.00 E-1 M NA CL,,25,1.51E-02,M,BB,SPECFC CONDCTNCE GRAPH,MYSE KAPA,61005,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,1.0 E 0 M .NA CL,,25,2.77E-03,M,BB,SPECFC CONDCTNCE GRAPH,MYSE MYSE,65018,T,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,1.25 E 1 C 0001,,RM,2.02E-02,M,BB,ELECTROMOTIVE FORCE,SHED JAKO,63001,T,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,2.5 E 1 C 0001,,RM,1.56E-02,M,BB,ELECTROMOTIVE FORCE,SHED JAKO,63001,T,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.0 E 1 C 0001,,RM,1.08E-02,M,BB,ELECTROMOTIVE FORCE,SHED JAKO,63001,T,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.00 E 1 C 0004,,25,3.03E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.00 E 1 C 0004,,30,3.09E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.00 E 1 C 0004,,35,3.18E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.00 E 1 C 0004,,40,3.31E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.00 E 1 C 0004,,45,3.47E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.00 E 1 C 0004,,50,3.66E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.00 E 1 C 0004,,55,3.87E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.00 E 1 C 0004,,60,4.16E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.00 E 1 C 0004,,65,4.51E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.00 E 1 C 0004,,70,4.90E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,5.00 E 1 C 0004,,75,5.35E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,25,2.05E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,30,2.08E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,35,2.13E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,40,2.21E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,1,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,40,2.21E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,45,2.31E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,50,2.43E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,55,2.58E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,60,2.77E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,65,2.99E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,70,3.22E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,,,75,3.50E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,5. E 0 H,DIOXANE,40,2.40E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,1.0 E 1 H,DIOXANE,40,2.90E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,1.5 E 1 H,DIOXANE,40,3.80E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,2.0 E 1 H,DIOXANE,40,5.20E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,2.5 E 1 H,DIOXANE,40,7.50E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,3.0 E 1 H,DIOXANE,40,1.28E-02,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 1 SULFATE,316.4,3.5 E 1 H,DIOXANE,40,1.77E-02,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
,,,,,,,,,,,,,,,,
SODIUM HEXADECYL 1 SULFATE,344.4,,,40,5.20E-04,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM HEXADECYL 1 SULFATE,344.4,,,40,5.80E-04,M,BC,SPECFC CONDCTNCE GRAPH,EVAN,56006,T,3,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM HEXADECYL 1 SULFATE,344.4,5. E 0 H,DIOXANE,40,1.27E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM HEXADECYL 1 SULFATE,344.4,1.0 E 1 H,DIOXANE,40,2.00E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM HEXADECYL 1 SULFATE,344.4,1.5 E 1 H,DIOXANE,40,2.80E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM HEXADECYL 1 SULFATE,344.4,2.0 E 1 H,DIOXANE,40,3.54E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM HEXADECYL 1 SULFATE,344.4,2.5 E 1 H,DIOXANE,40,4.30E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM HEXADECYL 1 SULFATE,344.4,3.0 E 1 H,DIOXANE,40,5.00E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
,,,,,,,,,,,,,,,,
SODIUM DECYL 2 SULFATE,260.3,,,10,5.15E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 2 SULFATE,260.3,,,15,4.92E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 2 SULFATE,260.3,,,20,4.70E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 2 SULFATE,260.3,,,25,4.56E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 2 SULFATE,260.3,,,30,4.52E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 2 SULFATE,260.3,,,35,4.50E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 2 SULFATE,260.3,,,40,4.50E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 2 SULFATE,260.3,,,45,4.52E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 2 SULFATE,260.3,,,50,4.57E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 2 SULFATE,260.3,,,55,4.65E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 2 SULFATE,260.3,,,60,4.79E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 2 SULFATE,260.3,,,65,4.95E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
,,,,,,,,,,,,,,,,
SODIUM TETRADECYL 2 SULFATE,316.4,,,25,3.27E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 2 SULFATE,316.4,,,30,3.28E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 2 SULFATE,316.4,,,35,3.31E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 2 SULFATE,316.4,,,40,3.38E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 2 SULFATE,316.4,,,45,3.48E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 2 SULFATE,316.4,,,50,3.64E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 2 SULFATE,316.4,,,55,3.83E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 2 SULFATE,316.4,,,60,4.04E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 2 SULFATE,316.4,,,65,4.29E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 2 SULFATE,316.4,,,70,4.60E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 2 SULFATE,316.4,,,75,5.00E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
,,,,,,,,,,,,,,,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,25,5.12 XI 0-3,M,CA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,30,5.05E-03,M,CA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,35,5.04E-03,M,CA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,40,5 . 15E-3,M,CB,SPECFC CONDCTNCE GRAPH,EVAN,56006,T,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,40,5.12E-03,M,CA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,45,5.23E-03,M,CA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,50,5.38E-03,M,CA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,55,5.57E-03,M,CA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,60,5.85E-03,M,CA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,65,6.21E-03,M,CA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,70,6.62E-03,M,CA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM TETRADECYL 4 SULFATE,316.4,,,75,7.11E-03,M,CA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
,,,,,,,,,,,,,,,,
OCTYL BETA D GLUCOSIDE,292.4,,,25,2.50E-02,M,,,SHIN YAMA,61008,T,3,CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,,,
,,,,,,,,,,,,,,,,
DECYL BETA D GLUCOSIDE,320.4,,,25,2.2 XI 0-3,M,BB,SURFACE TENSION LOG PLOT,SHIN YAMA,61008,T,3,CCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,,,
,,,,,,,,,,,,,,,,
DODECYL BETA D GLUCOSIDE,348.5,,,25,1.90E-04,M,BB,SURFACE TENSION LOG PLOT,SHIN YAMA,61008,T,3,CCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,,,
,,,,,,,,,,,,,,,,
DIMETHYL DODECYL AMINE OXIDE,229.4,,,27,2.10E-03,M,BB,TURBIDITY PLT LITE SCATR,HERR,62005,T,3,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-].CCCCCCCCCCCC[N+](C)(C)[O-],,,
,,,,,,,,,,,,,,,,
DIMETHYL DODECYL AMINE OXIDE HYDROCHLORIDE,265.9,,,27,1.90E-01,D,BB,TURBIDITY PLT LITE SCATR,HERR,62005,T,3,,,,
DIMETHYL DODECYL AMINE OXIDE HYDROCHLORIDE,265.9,,,,7.14 XI 0-3,M,,,,,M,,,,,
DIMETHYL DODECYL AMINE OXIDE HYDROCHLORIDE,265.9,,,27,1.80E-01,D,BB,TURBIDITY PLT LITE SCATR,HERR,62005,T,3,,,,
DIMETHYL DODECYL AMINE OXIDE HYDROCHLORIDE,265.9,,,,6.76E-03,M,,,,,M,,,,,
,,,,,,,,,,,,,,,,
SILVER DODECYL 1 SULFATE,373.2,,,35,7.30E-03,M,BA,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,2,CCCCCCCCCCCCOS(=O)(=O)[O-].[Ag+],,,
SILVER DODECYL 1 SULFATE,373.2,,,55,8.40E-03,M,BA,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,3,CCCCCCCCCCCCOS(=O)(=O)[O-].[Ag+],,,
SILVER DODECYL 1 SULFATE,373.2,,,35,4.70E-03,M,BA,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,3,CCCCCCCCCCCCOS(=O)(=O)[O-].[Ag+],,,
SILVER DODECYL 1 SULFATE,373.2,,,35,5.40E-03,M,BA,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,3,CCCCCCCCCCCCOS(=O)(=O)[O-].[Ag+],,,
,,,,,,,,,,,,,,,,
CALCIUM DODECYL 1 SULFATE,570.8,,,70,3.40E-03,N,BB,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,3,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCOS(=O)(=O)[O-].[Ca+2],,,
CALCIUM DODECYL 1 SULFATE,570.8,,,70,3.30E-03,N,BB,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,3,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCOS(=O)(=O)[O-].[Ca+2],,,
,,,,,,,,,,,,,,,,
DODECYL AMMONIUM CHLORIDE,221.8,,,15,1.56E-02,M,BB,SPECFC CONDCTNCE GRAPH,EGGE HARW,51006,T,3,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,20,1.50E-02,M,BA,SPECFC CONDCTNCE GRAPH,RALS EGGE,48027,P,2,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,25,1.46E-02,M,BA,EQUIV CONDCTNCE GRAPH,BROW GRIE,49014,P,1,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,25,1.47E-02,M,BA,SPECFC CONDCTNCE GRAPH,RALS EGGE,48027,P,1,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,27,1.50E-02,M,BB,SPECFC CONDCTNCE GRAPH,EGGE HARW,51006,T,3,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,30,1.47E-02,M,BB,DENSITY,CART ANAC,60005,K,1,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,30,1.47E-02,M,BB,EQUIV CONDCTNCE GRAPH,RALS EGGE,48020,K,1,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,30,1.50E-02,M,BA,SPECFC CONDCTNCE GRAPH,EGGE HARW,51006,T,1,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,30,1.48E-02,M,BA,SPECFC CONDCTNCE GRAPH,RALS EGGE,48027,P,1,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,30,1.48E-02,M,BB,EQUIV CONDCTNCE GRAPH,RALS EGGE,49008,GK,1,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,40,1.50E-02,M,BA,SPECFC CONDCTNCE GRAPH,RALS EGGE,48027,P,2,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,50,1.58E-02,M,BA,SPECFC CONDCTNCE GRAPH,RALS EGGE,48027,P,3,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,60,1.71E-02,M,BB,SPECFC CONDCTNCE GRAPH,RALS EGGE,48027,P,3,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
DODECYL AMMONIUM CHLORIDE,221.8,,,30,1.61E-02,N,BB,EQUIV CONDCTNCE GRAPH,RALS EGGE,48023,T,3,CCCCCCCCCCCC[N+](C)(C)COCCCCCCCCCCCC.[Cl-],,,
